Meisterzählung,D,A,B,C,E,F,G,W,Notizen
1122,do er ſie mit liebe grûzte,do er ſei begr#suo+zte,,er si getroste,,do e[…] ſi geg[…]te,,,
1123,er ſprah daz ſie gîenge,er sp#ara+ch daz ſi gienge,,er sprach daz si ginge,,er ſprah d#aaz+ ſie ginge,,,
1124,#avnd+ ir charle wol enpfîenge,v#and+ wol ir man enpfienge,,und irn mä ewphinge,,ir karelin wol enphinge,,,
1125,zeêiner borte hiez aurea,z#svo+ ein#aer+ porten die hiez aurea ,,zu einer phorten di hiz antea,,z#svo+ ain[…] porte div h[…]z aur[…]a,,,
1126,#lde+r wirt begegenot ir da,der wirt begenet ir al da,,d#aer+ wirt I begeinte ir alda,,der wirt begegen[…]te ir da,,,
1127,ane zwiuel an #lde+m tage,ane zweifel an dem tagen,,ane zwivel an dem tage,,zwiwel a[…] de[…] tage,,,
1128,do was ir truren #avnd+ ir chlage,do waz ir #f21v+ trovren v#and+ ir chlage,,daz was ir trüren und ir clage,,do waſ ir […]rvren u#and+ ir clage,,,
1129,in#lde+n wint gahes uerſwnden,inden wint verſwunden,,'in deme winde u''swunden',,inden wint […]erſwnden,,,
1130,ſie waſ gefrig#&t+ #avnd+ enbundeN,ir h#ae+rze wart enbund#aen+,,ir herzce was enpunden,,ir herze was gef[…]get v#and+ enbunden,,,
1131,#f19r+ #iS+i gahet engegen dem burgetor,#rS+i gahte gen dem #rp+urgetor,,Si gahte gein deme burgetor,,Sie gaheten gen dem burgetor,,,
1132,ir wirtes beitet ſie dauor,des wirttes baite ſi da vor,,des Wirtes beitte s da vor,,deſ wirteſ […]te ſie da vor,,,
1133,mit des engeles geleite,,,mit des engeis geleite,,m[…]ſ eng[…]s gelaite,,,
1134,ſi hete wol gewant ir arbêite,,,,,,,,
1135,uf eine h#soe+he ſie geſt#suo+nt,,,,,,,,
1136,als die getrîwen gerne t#suo+nt,,,,,,,,
1137,die liebe frivnte uf #lde+m wege hant,,,,,,,,
1138,unt dicke andie warte gânt,,,,,,,,
1139,,#sov+f einen perich ſt#suo+nt ſi h#soe+,,,,,,,
1140,,,,si wolte ur langez beiten,,ſi wolte ir langeſ baiten,,,
1141,,,,'mit gebete unt''misschen',,[…] g[…]ete under miſgen,,,
1142,ir hiwiſk ſtalte ſie zen ſiten,,,si stalten ir hiuelwizcen,,ſie ſt[…]ſch[…],,,
1143,,,,beidenthalben zu den siten,,baid[…]nth[…] ſi[…],,,
1144,daz mære fl#sov+ch do wîten,,,daz mer vlog vil weiten,,[…] fl#sov+ch do wit[…],,,
1145,daz der herre chomen ſolte,,,,,,,,
1146,#avnd+ inda enpfahen wolte,,,,,,,,
1147,d#siv+ fr#sov+e uon des engeleſ lere,,,,,,,,
1148,#lde+s ge#^w+ndert ſere,,,,,,,,
1149,daz lîvt ioh die lantſcaft,,,,,,,,
1150,ſie lobeten die gotes chraft,,,,,,,,
1151,#avnd+ elliv ſiniv wn#lde+r,,,,,,,,
1152,d#siv+ erten ſie dar under,,,,,,,,
1153,frowe anna d#siv+ wart #sov+ch erwelt,,,,,,,,
1154,unt entikliche gezelt,,,,,,,,
1155,,,,si stunt uf einer hoehe,,ſie ſtu[…]ch […]ne h#sov+he,,,
1156,,daz ſi verre ſehe do,,daz si v#aer+re sehe,,d[…] ſ[…] ſahe,,,
1157,,,,und wite mochte geschouwon,,v#and+ […] mahte ſch[…]en,,,
1158,,,,di vil edele vrouwe ,,diu […] fr#sov+we,,,
1159,,ſi viel nid#aer+ dikke,,vil da nider dikke,,div […]îl do nider diche,,,
1160,,mit manigem ovf pliche,,mit manigem ufblike,,[…]negem […]che,,,
1161,,wa er f#sue+re da her,,wo er vure da her,,w[…]r […] d[…]her,,,
1162,,da z#svo+ was ir vil ger,,da zu was ir vil ger,,dar z#svo+ waz ir vil ger,,,
1163,,die levte mit ſchalle,,,,,,,
1164,,,,di lüte di da wa ren,,[…]ie d[…]en,,,
1165,,begunden fragen alle,,di bogouden alle vragen,,die b[…]nde[…]ll[…] fragen,,,
1166,,von wannen d#aer+ bote z#^æ+me,,,,,,,
1167,,der ſelben vr#sov+ chæme,,,,,,,
1168,,,,von der vrouwen schone,,wenne der frowen ſcho[…],,,
1169,,,,der gewisse böte queme,,der […] bote ch[…]e,,,
1170,,der ir hiet ovz genomen,,d#aer+ ir hette daz uz genumen,,der ir […]te d#aaz+ […] genomen,,,
1171,,wan ir man ſolde chomen,,wanne ir man schölte kumen,,d#aaz+ ir karele ſ[…] chomen,,,
1172,,do ſi deſ wurden innen,,do si da wurden inne,,do ſie do wrden innen,,,
1173,,daz von der gotes minnen,,daz von der gotis stimme,,d[…]te[…] ſtimme,,,
1174,,div re#lde+ waz erſchellet,,di rede was erschellet,,div […] wa[…] erſchellet,,,
1175,,anna wart gezellet,,anna wart gezelet,,[…]ellet,,,
1176,zedem allerbeſten wibe,z#svo+ dem beſte weibe,,zu dem aller[…] #f1r/C3+ beſten wibe,,z[…]em[…]ll[…]eſten wibe,,,
1177,d#siv+ iender w#^æ+re enlibe,die indiſem leibe,,di in dekeime libe,,[…]ſeme libe,,,
1178,,waz do bey den zeiten,,was bi den geziten,,[…]en […]ten,,,
1179,,nahen v#and+ weit#aen+,,,,,,,
1180,,mit maniger re#lde+ dar vnder,,,,,,,
1181,,lobten ſi goteſ wund#aer+,,,,,,,
1182,,,,ir war#dt+ten vnd biten,,[…] ir biten,,,
1183,,,,daz wart beſufzcet tife,,d#aaz+ w[…]t biſ#svo+ftet […]f,,,
1184,,,,got ſi ane rife,,[…]t ſie ane riefen,,,
1185,,,,alle ſine wunder,,elliv ſiniv wnder,,,
1186,,,,lobte ſi darunder,,lo[…]eten ſie darunder,,,
1187,,,,di ſi da v#aer+namen,,die ſie da vernamen,,,
1188,,,,lop ſi im gaben,,l[…]p ſie i[…] gaben,,,
1189,,v#and+ mit zeheren ſich beguzzen,,mit zehern ſi ſich v#aer+guzen,,mit […]n ſie ſich begvzzen,,,
1190,,die von ir h#aer+zen fluzzen,,die vondeme h#aer+zcen fluzen,,d[…] von den herzen flvz[…]n,,,
1191,ſchiere ſie do ſahen,vil ſchier ſi do ſahen,#f?+ [...] do ſahen,ſchire ſi do ſahen,,ſchiere ſie do […]en,,,
1192,zu in uber velt gahen,her vb#aer+ velt gahen,vbir velt gah[…],uber uelt gahen,,vber #dw+velt gahen,,,
1193,ioachim mit ſiner ſchâre,#rI+oachim v#and+ ſine ſchar,,ioachim vnd ſine ſchar,,ioachim u#and+ ſine ſchare,,,
1194,d#siv+ fr#sov+e h#suo+b ſich dare,div vrowe gahte dar,[...]rowe hub ſich dar,di vrouw gahte dar,,div frowe […] dare,,,
1195,umbe den halſ ſie ingevîe,vm den hals ſi in vienk,vmbe [...],vm den hals ſi vn gevinge,,vmbe den h[…]lſ ſie i[…] ge we,,,
1196,anſiner hande ſie gîe,an ſiner hant ſi gienk,[...]at ſi im gie,an ſiner hende ſi ginge,,an ſiner hende ſie g#zi+e,,,
1197,ſi chuſt#de+ in div rêine #avnd+ d#siv+ gvt,,,,,,,,
1198,mit vil frolichem m#suo+t,,,,,,,,
1199,,ſi halſt in v#and+ chuſte,ſi holſt in v#and+,ſi halste in vnd kuſte,,ſie […] vnde chvſte,,,
1200,,v#and+ drukte in z#svo+ ir bruſte,,ſi drukte in an ir bruſte,,ſie duhte in andie bruſte,,,
1201,,,[...] eluſten,,,,,,
1202,#avnd+ enpfieng in inneklich#aen+ wol,ſi enpfienk in min#f22r+ne chlichen wol,v#and+ enphiench in [...],vnd enphing in innenclichen wol,,v#and+ enpf[…]nch in inneclich[…],,,
1203,alſ liep herzelieben ſchol,,,,,,,,
1204,âne ſun#lde+ mæilige minne,,,,,,,,
1205,wan zegot stûn#dt+#lde+#zn+ ir ſinne,,,,,,,,
1206,#lde+r die gvten beruch#&+ ie,,,,,,,,
1207,d#siv+ menige im engegen gie,,,,,,,,
1208,,ſi waren bede frevden vol,[...]ediuſamt uol,ſi waren beideſament uol,,ſie […]en […] ſament vol,,,
1209,,,dez troſtes [...],des troſtes allermeiſt,,deſ troſteſ aller […]ſte,,,
1210,,,[...] geiſt,vondem heiligen geiſt,,[…]n gaiſtes,,,
1211,,al die menige,elliv div menige,alle di minen,,elliv di[…] menigi,,,
1212,,giengen in enkegene,di[...],tret im inkeine,,div trat ime engegene,,,
1213,#avnd+ hiez in willechomen ſin,v#and+ hiezzen in willechomen ſein,[...]zen in willechomen ſin,vnd hiz in willekumen ſin,,v#and+ hiez in willechomen ſin,,,
1214,do wart al #lde+r werlte ſchin,,,,,,,,
1215,daz ſin ie vil gut rat wirt,,,,,,,,
1216,derz ubel #f19v+ durh die warheit uerbirt,,,,,,,,
1217,,do tet got vil wol ſchein,da [...],do tet got wol ſchin,,do det got vil g#svo+t ſchin,,,
1218,,vor mannen v#and+ vor weiben,[...]annen vnd uor wiben ,vor mann#aen+ vnd vor wiben,,vo[…],,,
1219,,daz nieman ſein wund#aer+ chan vol ſchreiben,daz [...]iwen,daz nimant ſine g#sue+te mak volſcriben,,,,,
1220,#iR+vben den ewarte,#rR+vben den æwarten ,,#iR+ubin den ewarte,,,,,
1221,den maht do riwen harte,begun#lde+ riwen harte,[...]harte,den mochte r#sue+we harte,,,,,
1222,ſwaz er dem herren ie geſprah,ſwaz er dem h#aer+ren îe geſp#ara+ch,daz e[…],waz er dem h#aer+ren ie geſprach,,,,,
1223,do er die zeichen geſah,do er die zeichen ane ſach,,do er di zeichen ane ſach,,,,,
1224,d#siv+ zemaere waren cho#amen+,,,,,,,,
1225,vn#lde+ witen wrden uernomen,,,,,,,,
1226,inder iudiſgen diet,,,,,,,,
1227,wie in got mit kin#lde+ beriet ,,,,,,,,
1228,wie er in geruchte ſcheiden,,,,,,,,
1229,uon kumber #avnd+ in beiden,,,,,,,,
1230,nah m#suo+en fr#sov+de uerlech,,,,,,,,
1231,der in div werlte uerzêch,,,,,,,,
1232,,,,daz er nuwent bleip,,,,,
1233,,,,vnz er in wrder treip,,,,,
1234,,,,uz dem gotis huſe,,,,,
1235,,,,davor mocht im gruſe,,,,,
1236,,do er die gotes tovgen,,do er di gotis tougen,,,,,
1237,,an ſchowet mit den augen,,,,,,,
1238,,,,beschouwet an d#aer+ vrouwen,,,,,
1239,,an dem reinen weibe,,,,,,,
1240,,v#and+ an ir werden leibe,,,,,,,
1241,Nah den #f20r+ uierzich wochen,#rN+ach den vierzich wochen,,nach den virzig wochen,,,,,
1242,d#siv+ kamer wart entlochen,die chamer wart entlochen,,di kamere wart entſlozen,,,,,
1243,da div richeit inne was,da div reicheit inne lak,,da di richeit inne was,,,,,
1244,dauon #lde+r uerlorn menniſk gnas,,,,,,,,
1245,,div al d#aer+ werlde wak,,der alle di werlt genas,,,,,
1246,#avnd+ elliv gotes hantgetat,,,,,,,,
1247,leb#aen+ #avnd+ gnade enpfangen hat,,,,,,,,
1248,der wâz vil guter ſalben,,,,,,,,
1249,,d#aer+ ſmak d#aer+ ſ#sve+zzen ſalben ,,der ſmak vil guter ſalben,,,,,
1250,begun#lde+ do allenthalben,begunde allenthalben,,begonde da all#aen+thalben,,,,,
1251,#duz breiten+ uz breiten ſine ſ#suo+ze,ovz breit#aen+ ſin ſ#sve+zze,,uz breite ſine ſuze,,,,,
1252,den ſundæren zeb#suo+zze,den ſunderen zeb#svo+zze,,den ſvnden zu buze,,,,,
1253,zeeiner gewiſſen urſtende,z#svo+ einer gewizzen vrſtende ,,#f1v/C3+ zu einer gewiſſen urſtende,,,,,
1254,nah des libeſ ende,nach deſ leibes ende,,nach des libes ende,,,,,
1255,Der uater uil guter,,,der uater uil guter,,,,,
1256,und ir vil ediliv muter,,,vnd ir uil edele muter,,,,,
1257,,d#aer+ vat#aer+ v#and+ div m#suo+t#aer+,,,,,,,
1258,,wolten d#aer+ toht#aer+ g#suo+ter,,,,,,,
1259,die newolten die himelroſen,ir namen niht v#aer+b#soe+ſen,,di enwolten di edelen roſen,,,,,
1260,mit nam#aen+ niht uerboſen ,der edelen himelroſen,,mit namen nicht v#aer+boſen,,,,,
1261,ſi hiezen ſie marien,ſi hiezzen ſey #rMaRien+,,ſi h#sie+zen ſi marien,,,,,
1262,wand als daz honich die bigen,wan als daz honik die peien,,wanne als honik di bynen,,,,,
1263,uzem trore mugen vinden,ovz dem trore chan gewinnen,,uz dem trore mugen vinden,,,,,
1264,alſo kan ſie den kinden,,,,,,,,
1265,die ir dienent #avnd+ ge#zt+ruvent,,,,,,,,
1266,die wile ſie hie ener#lde+ buvent,,,,,,,,
1267,,als chan div chvniginne,,alſo kan di kuneginne,,,,,
1268,den heil triefenten fladen,den vil ſ#sve+zzen fladen,,den trifenden vladen,,,,,
1269,nah diſem libe fûrtragen,nach diſem leibe fur tragen,,nach diſme libe wrtragen,,,,,
1270,ſie kan #sov+ch die bitter der sunden,,,,,,,,
1271,ioh die totliche wnden,,,,,,,,
1272,mit ir g#suo+te wol uerdekeN,,,,,,,,
1273,nu ruche ſie unſ erweken,,,,,,,,
1274,,den hungergen ſælen,,der ungewegen ſe#dr+le,,,,,
1275,,an ir #f22v+ iſt lobes mere,,als ir iſt lobes mere,,,,,
1276,,danne denhein ſtimme,,danne kein ſtimme,,,,,
1277,,mvge immer fure bringen,,wr muge bringe,,,,,
1278,daz #zwir+ ſie uon herzen mêinen,,,,,,,,
1279,ſo mak ſie unſ gna#lde+ bescheineN,,,,,,,,
1280,#iD+o daz reine magdin wart geborn,,,,,,,,
1281,,#iD+o daz reine chindelin,,#iD+#rO+ daz reine kindelin,,,,,
1282,,daz æwige magedein,,daz ewige megetin,,,,,
1283,,in diſe w#aer+lt wart geboren,,#ain+ diſe werlt wart geborn,,,,,
1284,do wart erleſket der zorn,do wart erleſchet d#aer+ zorn,,do wart erleſchet der zorn,,,,,
1285,der gotes unwir#lde+,goteſ v#and+ vnwirde,,der gotis vnwirde,,,,,
1286,v#and+ fleiſklicher gir#lde+,,,vnd vleiſchlicher girde,,,,,
1287,,nach des todeſ girde,,,,,,,
1288,do wart #sov+h der menniſke,do wart der menſch gela#aden+ ,,do wart der menſche,,,,,
1289,geladet zegotes tiſche,z#svo+ goteſ tiſche v#and+ ze ſin#aen+ genaden,,geladen zu gotis tyſſche,,,,,
1290,zedem lebentigen brote,z#svo+ der lebendigen ſpeiſe,#f?+ [...]tigen ſpiſe,zu der lebending#aen+ ſpiſe,,,,,
1291,daz die ſele nimet uzer note,,,,,,,,
1292,der men#f20v+niſh wart engels genoz,,,,,,,,
1293,,die engel in dem paradeyſe,di engel in d[...],die engele indem paradyſe,,,,,
1294,,die enphieng#aen+ do den menſch z#svo+ ir genoz,[...] ir genozzen,di enphigen do den irn genoz,,,,,
1295,honich #avnd+ milch vz der erde floz ,#rH+onik v#and+ milich floz,honich vnd […],honik vnd milch vloz,,,,,
1296,got die werlte do ſegent,,,,,,,,
1297,vnt heil von himel regent,,,,,,,,
1298,,,[...]gen,notturftigir ſegen,,,,,
1299,,,heile u#suo+rger regen,heilfuriger regen,,,,,
1300,pigmente ole #avnd+ mirre,,,bimente vnd mirren,,,,,
1301,daz ſchâf daz e fur irre,,[...] ſchaf daz e fur irre,,,,,,
1302,daz uant do c#zh+rippe #avnd+ ſtal,,daz v[...],,,,,,
1303,,,,daz ſchaf kant di krippen,,,,,
1304,do got luhte uber al unſ chom #lde+r, ,[...]hte vbir al,vnd da got luchte uberal,,,,,
1305,unſ chom #lde+r wintr#suo+be,vnſ chomen die wein trovben,vns chome[...],vns kom der wintruben zal,,,,,
1306,div ware turteltube,div ſtimme d#aer+ #rT+urtiltovben,[...]turteltuben,di ſtimme d#aer+ turteltuben,,,,,
1307,wart gehor#&+ uil gereite,wart gehort berait,wart gehore[...],wart gehort vil gereit,,,,,
1308,uber al die chriſtenheite,vber alle die chriſtenheit,[…]h[…],uber al di kriſt#aen+heit,,,,,
1309,#iD+er tach daz ſie geborn wart,#rD+er tak do ſi geboren wart,[…] gebo[…],#iD+#re+r tac daz ſi geborn wart,,,,,
1310,der iſt liep #f21r+ wer#lde+ #avnd+ zart,d#aer+ iſt liep v#and+ zart,,der iſt ſo lip vnd ſo zart,,,,,
1311,allem dem livte,allen den levten ,alle[...] den […]uten,allen den luten,,,,,
1312,daz ſih mit #lde+r #?brûte+,die ſich mit der brevte,di ſich […],di ſich mit d#aer+ brute,,,,,
1313,gert uz den ſunden ſwingen,,,,,,,,
1314,,hinze himel wellent ſwingen,[…] ſwingen,hin zu himele wollen ſwing#aen+,,,,,
1315,under ir uanen dingen,,[…] ir van[…],vnd ir vanen dringen,,,,,
1316,,mit reinechlichen dingen,,,,,,,
1317,die ivngen #avnd+ die alten,,,iunge vnd alte,,,,,
1318,muzzen die dult behalten,,,di m#sue+zen #f11r/C2+ den tac behalte,,,,,
1319,mit vire geſange #avnd+ gebet,,,mit vire und mit gesange,,,,,
1320,wand unſ got gnade mit ir tet,,,,,,,,
1321,#avnd+ uber unſ ſelbe erſchêin,,,,,,,,
1322,daz ware lieht brahte ſie êine,,,,,,,,
1323,ſie iſt unſer fr#sov+den angenge,,,,,,,,
1324,ir g#suo+te wert wol die lenge,,,,,,,,
1325,,,,so wirt vil wol enplhangen,,,,,
1326,,#rS+i ſol vnſ willechomen ſeyn,,si schol uns willekumen sin,,,,,
1327,,ia levhtet vnſ d#aer+ magede ſchein,,ia luihtet uns daz megetin,,,,,
1328,,ſam div lilye ovz dem dorn,,als di lilie uz den I dorn,,,,,
1329,,ſi wiget vns gen goteſ zorn,,,,,,,
1330,,,,si weget ouch uns da vorn,,,,,
1331,,als ez vnſ andie not gat,,so ez uns an di not gat,,,,,
1332,,den ſvnde#ar+n ſi bey geſtat,,den sundern si da bistat,,,,,
1333,,vil reht m#sve+terlichen,,vil rechte müteriliche,,,,,
1334,,ſi wil vnſ niht geſweichen,,si will uns nicht entwiche,,,,,
1335,,vnz ſi vnſ bringet andie ſtat,,wanne si uns brenget an die stat,,,,,
1336,,des îe vn#aſer+ #f23r+ herze pat,,,,,,,
1337,,,,des ir gert und bat,,,,,
1338,,,,allez unser gemuete,,,,,
1339,,,,so groz sint ir guete,,,,,
1340,,ſi h#aer#tet ander lenge,,si hertet wol di lenge,,,,,
1341,,vnſer frevde nam anigenge,,unsere vreude von angegenge,,,,,
1342,,do ſi der werlde molde,,do si in der molde,,,,,
1343,,mit vnſ hie bowen wolde,,mit uns buwen wolde,,,,,
1344,ſwaman ſænd marien nennet,ſwa man Mareien nennet,,wa man saiit niaiiam nennet,,,,,
1345,ſo fr#sov+et ſih #avnd+ mendet,ſo frevt ſich v#and+ erchennet,,so 1 vreuwet sieh und menget,,,,,
1346,beid#siv+ enſamet ſel #avnd+ lip,pede ſele v#and+ leip,,beiile sele und lip,,,,,
1347,wand unſ ir name die wisunge git,ir name vnſ weiſunge geit,,ir name uns wege git,,,,,
1348,ze unſer heimode,z#svo+ vnſerm heimot,,zu unserm heymote,,,,,
1349,uz irdiſker brode,,,uzir diser briode,,,,,
1350,,ovz menſchlicher not,,,,,,,
1351,bezzer name wart nie,,,bezer name wart nie,,,,,
1352,daz ſie daz leben ie geuie,,,,,,,,
1353,,,,der zu leben ie,,,,,
1354,des loben wir den heilant,des lob wir den hailant,,des loben wir den heioland,,,,,
1355,#lde+r da herberge vant,d#aer+ #dd+ie herberge vant,,der da herberige vant,,,,,
1356,indem ſunne ſchîne,indem ſunne ſcheine,,in dem sunnenschine,,,,,
1357,daz iſt d#siv+ muter ſine ,,,,,,,,
1358,,ſi wart nie ze weibe,,si enwart euch nie ze wibr,,,,,
1359,,ſi iſt vnbewollen,,si ist magt unbew ollen ,,,,,
1360,,die frevde geit den vollen,,si gibt uns trost envollen,,,,,
1361,#iD+annen uber dr#siv+ iare,Dar nach vber driv iar,,Dannen über diu iar,,,,,
1362,daz ſie die toht#aer+ gebare,do ſi div toht#aer+ gebar,,diiz si di tochter gebar,,,,,
1363,ir opfer ſie ufhuben,ir opfer si #sov+f h#svo+ben,,ir oppher si uf hüben,,,,,
1364,mit #lde+m kinde ſie daz trugen,mit dem chinde ſi daz tr#suo+gen,,mit deme kinte si ez trugen,,,,,
1365,gegen #lde+m ſale frone ,gen dem tempel frone,,gein deme tempele schoene,,,,,
1366,MaRia gie ſo ſchone,maria gienk ſo ſchone,,,,,,,
1367,,,,maria gin da vore,,,,,
1368,ſo wol ufgerihte,,#f?+ [...] wol uf gerihte ,so wol uf gerichte,,,,,
1369,,v#and+ begunde sich ovf rihten ,,,,,,,
1370,#lde+n livten zegeſihte,den levten ze geſihten,,den luten zu gejsichte,,,,,
1371,daz ſie nie umbe geſ#?d+ah,daz ſi vme nie geſach,daz ſi umb nie geſach ,daz si nie umgesach,,,,,
1372,zeder muter ſie niht enſprah,z#svo+ ir m#suo+t#aer+ ſi niht ſp#ara+ch,zir muter ſi niht enſprah,zu der muter si nicht sprach,,,,,
1373,noh ſih darzu gem#suo+zte,,noch ſich da zu gemuzte ,noch sich dar zu nicht gemuezte,,,,,
1374,daz ſie den vater gr#suo+zte,,daz ſi ir vat#aer+ gruzte,daz si den vater gruzte,,,,,
1375,#f21v+ #avnd+ ſie nie des gezam,v#and+ ſei nie gezam ,noch ſi dez nine gezam ,und si ni des gezam,,,,,
1376,daz ſie wip oder maN,daz ſi weip oder man,daz wip od#aer+ man ,daz si wip od#aer+ man,,,,,
1377,ane wolte ſc#sov+wen,ane wolde ſchowen,an wolde ſchowen ,'au woltli'' schouwen',,,,,
1378,ſie gie uor al #lde+n frôwen,ſi gie vor al den frowen,ſi gie mit #aan+dern frowen ,si giuk vor allen vrouwen,,,,,
1379,uil gereite zu der reſte,vil beraite z#svo+ der reſte,gereit fur reſte,vil gerechte zu der reste,,,,,
1380,aller dirnkin#lde+ beſte,aller kinde beſte,daz kint aller beſte ,aler kinde beste,,,,,
1381,daz ſuhte manige uenige,daz ſ#suo+chte manik venie,do ſchute ſin venie ,daz suchte majuige venien,,,,,
1382,des wnderot die menige,deſ wunderte al die menige,dez wundert alle di menige,des wundert die menie,,,,,
1383,daz ſie kint was amme libe,,daz ſi weruch waz andem libe,daz si kunt was ame libe,,,,,
1384,#avnd+ doh alſ ich fur ware ſcribe,,,,,,,,
1385,,daz ſi mit chintlichem leibe ,,,,,,,
1386,,pede manne v#and+ weibe,,,,,,,
1387,,,vnd doch alten wibe,und doch alten wiben,,,,,
1388,der werlte ein bilde uor truch,ſo g#suo+t bilde #f23v+ v#ro+r+ tr#suo+k,ſo gutiu bilde vor truch,ein gut bilde vortruk,,,,,
1389,daz was zuhteklich gnuch,v#and+ all#aer+ zuhte gen#suo+k,vnd all er zuchte genuch,und aller zuchte gnuc,,,,,
1390,#avnd+ gut ze merchen uberal,,,,,,,,
1391,den mageden in#lde+m ſale,,,,,,,,
1392,die got zaller zit dienten da,,,,,,,,
1393,nu wart #z#sov+h+ #d?+ en#f22r+pfolhen ſa,,,,,,,,
1394,den ſelben fro#sov+en daz kint,,,,,,,,
1395,,den meiden die da waren,div maget die da waren,den meiden di da waren,,,,,
1396,,v#and+ indem t#aem+pel lagen,vnd indem templo lagen,und iu dcnie teuipel lagen,,,,,
1397,,alle zeit v#and+ alle friſt,allezit vnd alle #v+riſt,alle zit und alle vrist,,,,,
1398,,ingotes lobe v#and+ ſinem dienſt,in dem gotis d#ie+niſt ,in gotis dinst,,,,,
1399,,den enphulhen ſi daz kint,den ephu#zl+hin ſi daz kint ,dem bevalch si das kint,,,,,
1400,dem die ſæligen diende ſint,dem alle die dieninde ſint,dem alle di dienent ſint ,den alle di dinent,,,,,
1401,,die got wellent ſehen,,,,,,,
1402,,v+and+ himiliſche frevde ſpehen,,,,,,,
1403,,si waz g#aer+ne vnder in ,,,,,,,
1404,,,[...] daz ewige lewen,di daz ewige leben,,,,,
1405,,,immer wellent geſehen,immer wollent sehen,,,,,
1406,alſus beleip ſie under in,,da beleib[...],do bleip si gerne under in,,,,,
1407,d#siv+ muter #avnd+ ioachim,div muter v#and+ #rI+oachim,,di muter und ioachim,,,,,
1408,begunden danne keren,die eylt#aen+ dann#aen+ cheren,,di ilten dannen keren,,,,,
1409,d#siv+ maget #^w+hſe mit eren,div magt waz mit eren,,di maget wuchs mit eren,,,,,
1410,ân aller ſlahte itewîz,ane aller ſlahte laſter,,au aller slachte laster,,,,,
1411,wan got ſelbe ſinen fliz,,,,,,,,
1412,#avnd+ ſin hute anſie leite,,,,,,,,
1413,des wart im gnade geſeite,,,,,,,,
1414,uon allen die in meinten,,,,,,,,
1415,,v#and+ nam ſich fure ſo vaſte,,und nam wr sich vil vaste,,,,,
1416,,daz ir alle holt waren,,,,,,,
1417,,die ſey an geſahen,,,,,,,
1418,uor liebe ſie beweinten,,,daz si vor libe weinten,,,,,
1419,,,,di got vö I herzcen meinten,,,,,
1420,des kindes tugend zvht #avnd+ gûte,,,,,,,,
1421,ſuze gebære reinz gemvte,,,,,,,,
1422,#iD+o ſprah fr#sov+e anne,#rD+o sp#ara+ch frow#ze+ anne,,Do spracdi di vrouwe anne,,,,,
1423,got ſchivbet uf lange,got ſchevbet #sov+f vil lange,,got schuhet ouf lange,,,,,
1424,ſine gnade ſwenner wil,ſine genade ſwen er wil,,sine gnade wanne er wil,,,,,
1425,un#lde+ git ir enſamet vil,v#and+ geit ir danne ſo vil,,und gibt der zumale vil,,,,,
1426,daz ſie niemen mak ergrunden,daz ſi nieman chan vol grun#aden+,,daz si niniant erlgrunde,,,,,
