Meisterzählung,D,A,B,C,E,F,G,W,Notizen
1284,,#iD+o daz reine chindelin,,#iD+#rO+ daz reine kindelin,,,,,
1285,,daz æwige magedein,,daz ewige megetin,,,,,
1286,,in diſe w#aer+lt wart geboren,,#ain+ diſe werlt wart geborn,,,,,
1287,do wart erleſket der zorn,do wart erleſchet d#aer+ zorn,,do wart erleſchet der zorn,,,,,
1288,der gotes unwir#lde+,goteſ v#and+ vnwirde,,der gotis vnwirde,,,,,
1289,v#and+ fleiſklicher gir#lde+,nach des todeſ girde,,vnd vleiſchlicher girde,,,,,
1290,do wart #sov+h der menniſke,do wart der menſch gela#aden+ ,,do wart der menſche,,,,,
1291,geladet zegotes tiſche,z#svo+ goteſ tiſche v#and+ ze ſin#aen+ genaden,,geladen zu gotis tyſſche,,,,,
1292,zedem lebentigen brote,z#svo+ der lebendigen ſpeiſe,#f?+ [...]tigen ſpiſe,zu der lebending#aen+ ſpiſe,,,,,
1293,daz die ſele nimet uzer note,,,,,,,,
1294,der men#f20v+niſh wart engels genoz,,,,,,,,
1295,,die engel in dem paradeyſe,di engel in d[...],die engele indem paradyſe,,,,,
1296,,die enphieng#aen+ do den menſch z#svo+ ir genoz,[...] ir genozzen,di enphigen do den irn genoz,,,,,
1297,honich #avnd+ milch vz der erde floz ,#rH+onik v#and+ milich floz,honich vnd […],honik vnd milch vloz,,,,,
1298,got die werlte do ſegent,,,,,,,,
1299,vnt heil von himel regent,,,,,,,,
1300,,,[...]gen,notturftigir ſegen,,,,,
1301,,,heile u#suo+rger regen,heilfuriger regen,,,,,
1302,pigmente ole #avnd+ mirre,,,bimente vnd mirren,,,,,
1303,daz ſchâf daz e fur irre,,[...] ſchaf daz e fur irre,,,,,,
1304,daz uant do c#zh+rippe #avnd+ ſtal,,daz v[...],,,,,,
1305,,,,daz ſchaf kant di krippen,,,,,
1306,do got luhte uber al, ,[...]hte vbir al,vnd da got luchte uberal,,,,,
1307,unſ chom #lde+r wintr#suo+be,vnſ chomen die wein trovben,vns chome[...],vns kom der wintruben zal,,,,,
1308,div ware turteltube,div ſtimme d#aer+ #rT+urtiltovben,[...]turteltuben,di ſtimme d#aer+ turteltuben,,,,,
1309,wart gehor#&+ uil gereite,wart gehort berait,wart gehoret[...],wart gehort vil gereit,,,,,
1310,uber al die chriſtenheite,vber alle die chriſtenheit,[…]h[…],uber al di kriſt#aen+heit,,,,,
1311,#iD+er tach daz ſie geborn wart,#rD+er tak do ſi geboren wart,[…] gebo[…],#iD+#re+r tac daz ſi geborn wart,,,,,
1312,der iſt liep #f21r+ wer#lde+ #avnd+ zart,d#aer+ iſt liep v#and+ zart,,der iſt ſo lip vnd ſo zart,,,,,
1313,allem dem livte,allen den levten ,alle[...] den […]uten,allen den luten,,,,,
1314,daz ſih mit #lde+r #?brûte+,die ſich mit der brevte,di ſich […],di ſich mit d#aer+ brute,,,,,
1315,gert uz den ſunden ſwingen,,,,,,,,
1316,,hinze himel wellent ſwingen,[…] ſwingen,hin zu himele wollen ſwing#aen+,,,,,
1317,under ir uanen dingen,,[…] ir van[…],vnd ir vanen dringen,,,,,
1318,,mit reinechlichen dingen,,,,,,,
1319,die ivngen #avnd+ die alten,,,iunge vnd alte,,,,,
1320,muzzen die dult behalten,,,di m#sue+zen #f11r/C2+ den tac behalte,,,,,
1321,mit vire geſange #avnd+ gebet,,,mit vire und mit geſange,,,,,
1322,wand unſ got gnade mit ir tet,,,,,,,,
1323,#avnd+ uber unſ ſelbe erſchêin,,,,,,,,
1324,daz ware lieht brahte ſie êine,,,,,,,,
1325,ſie iſt unſer fr#sov+den angenge,,,,,,,,
1326,ir g#suo+te wert wol die lenge,,,,,,,,
1327,,,,ſo wirt vil wol enphangen,,,,,
1328,,#rS+i ſol vnſ willechomen ſeyn,,ſu ſchol vns willekum#aen+ ſi,,,,,
1329,,ia levhtet vnſ d#aer+ magede ſchein,,ia luchtet vns daz megetin,,,,,
1330,,ſam div lilye ovz dem dorn,,als di lilie uz den dorn,,,,,
1331,,ſi wiget vns gen goteſ zorn,,,,,,,
1332,,,,ſi weget ouch vns davorn,,,,,
1333,,als ez vnſ andie not gat,,ſo ez vns an di not gat,,,,,
1334,,den ſvnde#ar+n ſi bey geſtat,,den ſundern ſi da biſtat,,,,,
1335,,vil reht m#sve+terlichen,,vilrechte m#sue+terliche,,,,,
1336,,ſi wil vnſ niht geſweichen,,ſi wil vns nicht entwiche,,,,,
1337,,vnz ſi vnſ bringet andie ſtat,,wanne ſi vns bren[...] an di ſtat,,,,,
1338,,des îe vn#aſer+ #f23r+ herze pat,,,,,,,
1339,,,,des ir gert vnd bat,,,,,
1340,,,,allez vnſer gem#sue+te,,,,,
1341,,,,ſo groz ſint ir g#sue+te,,,,,
1342,,ſi h#aer+tet ander lenge,,ſi hertet wol di lenge,,,,,
1343,,vnſer frevde nam anigenge,,vnſere vreude von anegenge,,,,,
1344,,do ſi der werlde molde,,do ſi inder molde,,,,,
1345,,mit vnſ hie bowen wolde,,mit vns buwen wolde,,,,,
1346,ſwaman ſænd marien nennet,ſwa man Mareien nennet,,waman ſant mariam nennet,,,,,
1347,ſo fr#sov+et ſih #avnd+ mendet,ſo frevt ſich v#and+ erchennet,,ſo vreuwet ſich vnd menget,,,,,
1348,beid#siv+ enſamet ſel #avnd+ lip,pede ſele v#and+ leip,,beide ſele vnd lip,,,,,
1349,wand unſ ir name die wisunge git,ir name vnſ weiſunge geit,,ir name vns wege git,,,,,
1350,ze unſer heimode,z#svo+ vnſerm heimot,,#dv+ zu vnſerm heymote,,,,,
1351,uz irdiſker brode,,,vzir diſer brode,,,,,
1352,,ovz menſchlicher not,,,,,,,
1353,bezzer name wart nie,,,bezer name wart nie,,,,,
1354,daz ſie daz leben ie geuie,,,,,,,,
1355,,,,der zu leben ie,,,,,
1356,des loben wir den heilant,des lob wir den hailant,,des loben wir den heilant,,,,,
1357,#lde+r da herberge vant,d#aer+ #dd+ie herberge vant,,der da herberge vant,,,,,
1358,indem ſunne ſchîne,indem ſunne ſcheine,,in dem ſvnnen ſchine,,,,,
1359,daz iſt d#siv+ muter ſine ,,,,,,,,
1360,,ſi wart nie ze weibe,,ſi enwart ouch ni[...] zu wibe,,,,,
1361,,ſi iſt vnbewollen,,ſi iſt magt vnbewollen ,,,,,
1362,,die frevde geit den vollen,,ſi gibt vns troſ[...] enuollen,,,,,
1363,#iD+annen uber dr#siv+ iare,Dar nach vber driv iar,,#iD+#ra+nnen uber dru iar,,,,,
1364,daz ſie die toht#aer+ gebare,do ſi div toht#aer+ gebar,,daz ſi di tochter gebar,,,,,
1365,ir opfer ſie ufhuben,ir opfer si #sov+f h#svo+ben,,ir oppher ſi uf huben,,,,,
1366,mit #lde+m kinde ſie daz trugen,mit dem chinde ſi daz tr#suo+gen,,mit deme kinte ſi ez trugen,,,,,
1367,gegen #lde+m ſale frone ,gen dem tempel frone,,gein deme tempele ſch#soe+ne,,,,,
1368,MaRia gie ſo ſchone,maria gienk ſo ſchone,,,,,,,
1369,,,,maria gin da vore,,,,,
1370,ſo wol ufgerihte,,#f?+ [...] wol uf gerihte ,ſo wol ufgerichte,,,,,
1371,,v#and+ begunde sich ovf rihten ,,,,,,,
1372,#lde+n livten zegeſihte,den levten ze geſihten,,den luten zugeſichte,,,,,
1373,daz ſie nie umbe geſ#?d+ah,daz ſi vme nie geſach,daz ſi vmb nie geſach ,daz ſi nie vmgeſach,,,,,
1374,zeder muter ſie niht enſprah,z#svo+ ir m#suo+t#aer+ ſi niht ſp#ara+ch,zir muter ſi niht enſprah,zuder muter ſi nicht ſprach,,,,,
1375,noh ſih darzu gem#suo+zte,,noch ſich dar zv gemuzte ,noch ſich darzu nicht gem#sue+zte,,,,,
1376,daz ſie den vater gr#suo+zte,,daz ſi ir vat#aer+ gruzte,daz ſi den #f11v/C2+ vater gruzte,,,,,
1377,#f21v+ #avnd+ ſie nie des gezam,v#and+ ſei nie gezam ,noch ſi dez nine gezam ,vnd ſi ni des gezam,,,,,
1378,daz ſie wip oder maN,daz ſi weip oder man,daz wip od#aer+ man ,daz ſi wip od#aer+ m#aan+,,,,,
1379,ane wolte ſc#sov+wen,ane wolde ſchowen,an wolde ſchowen ,an wolde ſchouwen,,,,,
1380,ſie gie uor al #lde+n frôwen,ſi gie vor al den frowen,ſi gie mit #aan+dern frowen ,ſi gink vor allen vrouwen,,,,,
1381,uil gereite zu der reſte,vil beraite z#svo+ der reſte,gereit fur reſte,vil gerechte zuder reſte,,,,,
1382,aller dirnkin#lde+ beſte,aller kinde beſte,daz kint aller beſte ,aller kinde beſte,,,,,
1383,daz ſuhte manige uenige,daz ſ#suo+chte manik venie,do ſchute ſin venie ,daz ſuchte manige venien,,,,,
1384,des wnderot die menige,deſ wunderte al die menige,dez wundert alle di menige,des wundert di menie,,,,,
1385,daz ſie kint was amme libe,,daz ſi weruch waz andem libe,daz ſi kint was ame libe,,,,,
1386,#avnd+ doh alſ ich fur ware ſcribe,,,,,,,,
1387,,daz ſi mit chintlichem leibe ,,,,,,,
1388,,pede manne v#and+ weibe,,,,,,,
1389,,,vnd doch alten wibe,vnd doch alten wiben,,,,,
1390,der werlte ein bilde uor truch,ſo g#suo+t bilde #f23v+ v#ro+r tr#suo+k,ſo gutiu bilde vor truch,ein gut bilde vor [...]ruk,,,,,
1391,daz was zuhteklich gnuch,v#and+ all#aer+ zuhte gen#suo+k,vnd aller zuhte genuch,vnd aller zuchte gnuk,,,,,
1392,#avnd+ gut ze merchen uberal,,,,,,,,
1393,den mageden in#lde+m ſale,,,,,,,,
1394,die got zaller zit dienten da,,,,,,,,
1395,nu wart #z#sov+h+ #d?+ en#f22r+pfolhen ſa,,,,,,,,
1396,den ſelben fro#sov+en daz kint,,,,,,,,
1397,,den meiden die da waren,div maget di da waren,den meiden di da waren,,,,,
1398,,v#and+ indem t#aem+pel lagen,vnd indem templo lagen,vnd indeme tempel lagen,,,,,
1399,,alle zeit v#and+ alle friſt,allezit vnd alle friſt,alle zit vnd alle vriſt,,,,,
1400,,ingotes lobe v#and+ ſinem dienſt,in dem gotis dieniſt ,in gotis dinſt,,,,,
1401,,den enphulhen ſi daz kint,den ephu#zl+hin ſi daz kint ,dem beualch ſi das kint,,,,,
1402,dem die ſæligen diende ſint,dem alle die dieninde ſint,dem alle di dienent ſint ,d#aem+ alle di dinent,,,,,
1403,,die got wellent ſehen,,,,,,,
1404,,v#and+ himiliſche frevde ſpehen,,,,,,,
1405,,,[...] daz ewige lewen,di daz ewige leben,,,,,
1406,,,immer wellent geſehen,immer woll#aen+t ſehen,,,,,
1407,alſus beleip ſie under in,si waz g#aer+ne vnder in ,da beleib[...],do bleip ſi gerne vnder in,,,,,
1408,d#siv+ muter #avnd+ ioachim,div muter v#and+ #rI+oachim,,di muter vnd ioach#aim+,,,,,
1409,begunden danne keren,die eylt#aen+ dann#aen+ cheren,,di ilten dannen keren,,,,,
1410,d#siv+ maget #^w+hſe mit eren,div magt waz mit eren,,di maget wuchs mit eren,,,,,
1411,ân aller ſlahte itewîz,ane aller ſlahte laſter,,au allerſlachte laſter,,,,,
1412,wan got ſelbe ſinen fliz,,,,,,,,
1413,#avnd+ ſin hute anſie leite,,,,,,,,
1414,des wart im gnade geſeite,,,,,,,,
1415,uon allen die in meinten,,,,,,,,
1416,,v#and+ nam ſich fure ſo vaſte,,vnd nam wr ſich vil uaſte,,,,,
1417,,daz ir alle holt waren,,,,,,,
1418,,die ſey an geſahen,,,,,,,
1419,uor liebe ſie beweinten,,,daz ſi vorlibe weinten,,,,,
1420,,,,di got v#aon+ herzcen meinten,,,,,
1421,des kindes tugend zvht #avnd+ gûte,,,,,,,,
1422,ſuze gebære reinz gemvte,,,,,,,,
1423,#iD+o ſprah fr#sov+e anne,#rD+o sp#ara+ch frow#ze+ anne,,#iD+#ro+ ſprach di vrouwe anne,,,,,
1424,got ſchivbet uf lange,got ſchevbet #sov+f vil lange,,got ſchubet ouf lange,,,,,
1425,ſine gnade ſwenner wil,ſine genade ſwen er wil,,ſine gnade wanne er #?w+il,,,,,
1426,un#lde+ git ir enſamet vil,v#and+ geit ir danne ſo vil,,vnd gibt der zumale vil,,,,,
1427,daz ſie niemen mak ergrunden,daz ſi nieman chan vol grun#aden+,,daz ſi nimant ergrunde,,,,,
1428,noh furbaz gechun#lde+n,noch furbaz kechvnden,,noch wrbaz mac gekunde,,,,,
1429,gezellen noh gemezzen,,,geceln noch gemezen,,,,,
1430,wer ſcholt im des uergezzen,,[...]en,wer ſcholte im des v#aer+gezen,,,,,
1431,die mine viande,#rD+ie minen viande,di min vianden ,mine v#sie+nde,,,,,
1432,die ſtent nu mit ſchanden,geſtent in grozzer ſchande,di ſtant nu anden ſchanden,beſten anden ſchandin,,,,,
1433,die mir ubele ſprachen,die mir vbel ſp#ara+chen,di mir vbel ſprachen,di mir vbele ſprachen,,,,,
1434,ſine weſſen waz ſie rachen,v#and+ ir ſpot an mir rachen,ſine weſſen waz an mir rachen,ſi enwoſten waz ſi rachen,,,,,
1435,do ih unberhafte was,do ich vnperhaft was,d[...] ich vnberhaft waz,do ich vnberhaft was,,,,,
1436,#avnd+ darnach ſchiere genas,v#and+ ſeit ich nv genas,dar nach ich ſchiere genas,vnd darnach ſchire genas,,,,,
1437,der herzelieben tohter min,der lieben tohter mein,,,,,,,
1438,da wart wol in allen ſchin,da worden an iſt ſchein,,,,,,,
1439,,michel goteſ zaichen,,,,,,,
1440,,nv greifen v#and+ reichen,,,,,,,
1441,,,der liben tôhter di ich #?w+ han,der liben tochter di ich han,,,,,
1442,,,da mohten ſi ſich alle wol enſtan,doch mochten ſi alle wol enſtan,,,,,
1443,daz daz gotes zeichen,,daz ditze zeichen ,daz #f12r/C2+ daz gotis zeichen,,,,,
1444,herce mir wolt gereichen,,herze mir wold raich,daz er uz mir wolte reichen,,,,,
1445,nu m#suo+ze in allez daz loben,,nu muz in allez daz loben,nv muz in alle#dn+ daz loben,,,,,
1446,daz uon im iſt bechomen,,da von im iſt bekomen ,daz von im iſt kumen,,,,,
1447,der menniſk vnt ezwilt,,,,,,,,
1448,#lde+r uogel #avnd+ ſwaz in wage ſpilt,,,,,,,,
1449,,layen v#and+ phaffen,Leien vnd phaphen ,leyen vnd phaffen,,,,,
1450,,#rv+#and+ ſwaz got hat beſchaffen,vnd ſwaz er hat geſchafen,vnd waz er hat derſchaffen,,,,,
1451,,daz erchenne in an mir,daz êre in allez an mir,daz bekent in allez anmir,,,,,
1452,,wilde #f24r+ vogel v#and+ tier,di vogel vnd di wilden tier,di wilden vogele vnd tier,,,,,
1453,,,die viſche vnd allez daz wunder,di viſſche vnd allez daz wunder,,,,,
1454,,,ſwaz indez mereſ vnde,daz indes mers grunde,,,,,
1455,ſwaz flivzet oder ſwebet,ſwaz flivzzet oder ſwebt,bediv fliuzet vnd ſwebet,beide fl#sue+zet vnd ſwebet,,,,,
1456,ſwaz chreſet oder lebet,ſwaz chreſt oder lebt,ſwaz creſcet vnd lebet ,waz kruchet oder lebet,,,,,
1457,uf dem er#lde+po#?d+me,ovf dem erpodeme,uf dem erde bodem,vffe dem ertbodeme,,,,,
1458,#avnd+ inden luften #f22v+ obene,od#aer+ in den luften obene,oder inden luften obene,oder inden luften obene,,,,,
1459,daz muze mir beſcheinen,,daz muz mir #f?+ allez zeigen,daz muz mir beſcheinen,,,,,
1460,wie ih #zin+ ſchul loben #avnd+ meineN ,,wie ich in #zſchul+ minnen oder meinen,wi ich in lob vnd meinen,,,,,
1461,#iE+ daz got menniſke wrde,,,,,,,,
1462,ane ſuntliche burde,,,,,,,,
1463,,daz ſol got den reinen,,,,,,,
1464,,mit lobe in triwen meinen,,,,,,,
1465,,#iV+or goteſ geburte noch,[]or gotis geburte ,#iU+#rO+r gotis geburte,,,,,
1466,ſwie gut die livte w#^æ+ren,,ſw#zi+e gute diu leute wurden,wi gut di lute worchten,,,,,
1467,,ſwaz die levte taten doch,,,,,,,
1468,,ſwie reht ſi waren,ſwie heilich ſi warn,wi heilig ſi do waren,,,,,
1469,#avnd+ d#siv+ kint die ſie gebaren,v#and+ ſwaz ſi kint gebaren,diu kint diu ſi gebarn,di kint di ſi gebaren,,,,,
1470,,die zehimel ſint geſelt,,,,,,,
1471,,v#and+ z#svo+ den g#suo+ten gezelt,,,,,,,
1472,,,,vnd doch inden iarn waren,,,,,
1473,doh begen wir ir dulte niht,do begæ wir niht ir tult,iedoch begen wir niht ir tult,,,,,,
1474,wizzet ir umbe welhe geſciht,,,,,,,,
1475,,ir ſult wol wizzen die ſchult,wiſſet ir wol diu ſchult,nv iſt ir wol di ſchult,,,,,
1476,war umbe wir daz miden,warume wir daz meiden,war umbe wir daz miden ,warumme wir daz meiden,,,,,
1477,daz wir ſie niht viren,daz die vaſte noch daz veiren,daz uaſten vnd daz vieren,daz di vaſte und di vire,,,,,
1478,noh in div ere geſatzet iſt,,,,,,,,
1479,untze unſer herre crhiſt,,,,,,,,
1480,,ingeſetzet niht eniſt,in geſetzet niht iſt ,in geſezcet nicht en iſt,,,,,
1481,,vnz aller manne bezzeriſt,wan aller man beſt,vnz aller manne lezziſt,,,,,
1482,ſie ſelbe erledigot,ſi erle#dg+degot ,,ſi eriledigot,,,,,
1483,,,ſit diu werlt wart erledigot ,,,,,,
1484,uz angeſtlicher not,ovz engeſtlich#aer+ not,uz angeſtlicher not,vz engeſtlicher not,,,,,
1485,#d?+ #zdvrh+ des erſten mannes ſunde,von des erſten weibes ſvnde,von dez e#zr+ſten wibes ſunden,vondes erſten mannes ſunden,,,,,
1486,waſ daz tief abgrunde,was daz abgrunde,ſo wa[...] daz abgrunde,waz daz aptgrunde,,,,,
1487,gerichet uon den ſelen,gereichet mit den ſelen,gerichet von den ſelen,gerucht von den ſelen,,,,,
1488,die muſen dar cheren,die m#suo+ſten dar cheren,ſi muſen alle dar keren,di muzent dar keren,,,,,
1489,ſolhe #avnd+ ſameliche,,ſoliche vnd ſæmeliche,ſulche vnd ſemeliche,,,,,
1490,bed#siv+ arme vn#lde+ riche,,arme vnd riche,arm vnd riche,,,,,
1491,do wart nehein gebein,do wart nie den hein gebeine,iz waz nehein gebein,do enwart kein gebeine,,,,,
1492,ſo luter noh ſo rêin,ſo lout#aer+ noch ſo reine,ſo luter noch reine ,ſo lutter noch ſo reine,,,,,
1493,daz daz mæhte bewarn,daz ez mohte bewarn ,,daz daz mochte bewarn,,,,,
1494,ſine m#suo+ſen alle dar uarn,div ſele m#sve+ſte dar varen,,ſi m#sue+ſten alle dar varn,,,,,
1495,#avnd+ mit langem ſere erbiten,da m#svo+ſen ſi erbeiten,iz muſe da enbiten,mit manigem ſer erbite,,,,,
1496,der oſterlichen zite,d#aer+ oſterlichen zeiten,der oſterlichen zite,der oſterlichen cite,,,,,
1497,daz daz ewige vrſchin,vnz der liehte ſchein,vnz daz daz ewige[...],daz der ewige ſchin,,,,,
1498,erluhte enmitten vnder in,erlouht vnd#aer+ in,,erbl#sue+te mitten vnder in,,,,,
1499,#avnd+ des cruces inſigele,do des chrevzes inſigil,,do des crucis inſigele,,,,,
1500,daz zæichen uon himele,daz zeichen #sov+z dem himel,,daz zeichen vzdem himele,,,,,
1501,der helle gewalte entrante,die tiefen helle entrant ,,di tifen hell[...] entrante,,,,,
1502,die ſele erloſte den tievil geſchante,,,den tuvel geſchante,,,,,
1503,,v#and+ den tivel pant,,,,,,,
1504,,v#and+ die volg#aer+ ſin,,vnd ſine volgere,,,,,
1505,,die da waren #f24v+ in dem pein,,,,,,,
1506,,,,di #12v/C2+ darinne waren,,,,,
1507,#iD+o hiez got uber die ſinen,#rD+o hiez got vber die ſeinen,,#iD+#ro+ hie got uber di ſinen,,,,,
1508,ein michel lieht erſchinen,ein groz lieht ſcheinen,,ein michel licht liz ſchinen,,,,,
1509,ein groze berhtel v#and+ glaſt,,,ein groz berk tal vnd glaſt,,,,,
1510,,daz waz dem tievel ain laſt,,,,,,,
1511,nu horet wie des cruciſ aſt,nv horet wie deſ chrevzeſ aſt,[...]des cruces aſt ,nv horet wi des cruces aſt,,,,,
1512,#avnd+ der uil heilige ſtam,v#and+ der vil heilege ſtam,vnd der [...],vnd der vilheilige ſtam,,,,,
1513,erlediget wib #avnd+ man,erloſte weib v#and+ man,[...] man,der erloſt wip vnd man,,,,,
1514,#f23r+ ſit der heilig aller heiligon,ſeit der heilige chriſt,do der heilig aller heiligon,ſin der heilige aller heiligen,,,,,
1515,bed#siv+ ſich v#and+ lon,,bediv ſic vnd lon ,beide ſich vnd lon,,,,,
1516,aller #lde+r werlte erzeigte,,alle der werlt erzæi[...]e,aller d#aer+werlde erzeigete,,,,,
1517,d#siv+ ſih zu im geneigte,,die ſich hinz im geneicten,di ſich zu im neigeten,,,,,
1518,,geſiget an des tievels liſt,,,,,,,
1519,vnt d#siv+ helle zebraſte,v#and+ div helle wart zebroſten,vnd diu helle wart zebrochen,vnd di helle was zubrochen,,,,,
1520,ſit wart unſ d#siv+ uaſte,,,,,,,,
1521,geboten #avnd+ d#siv+ banvire,,,,,,,,
1522,durh die holden ſine,,,,,,,,
1523,,ſeit m#suo+ſte wir vaſten,ſit muſten wir vaſten,ſint muſten wir uaſten,,,,,
1524,,v#and+ mit banne veiren,vnd vieren ,vnd mit ban v#sie+re,,,,,
1525,,eren die holden ſeinen,eren die holden ſin,eren di holden ſine,,,,,
1526,,,die den lip garten,di irn lip karten,,,,,
1527,,,zemiſlicher martir ,zu gemiſſcheter marter,,,,,
1528,die ſolh#siv+ werch worhten,,vnd ſolhiv werche worhten,vnd ſulche werk worchten,,,,,
1529,daz ſie den tot nien uorhten,,da ſi niht er frohten ,daz ſi nicht envorhten,,,,,
1530,durh die gotes minne,,,,,,,,
1531,moyſes #avnd+ ſin geſinde,#rM+oyſes vnder tan,,,,,,,
1532,,v#and+ and#aer+ g#suo+te weip v#and+ man,,,,,,,
1533,,,dez libes wandelunge,des libes wandelunge,,,,,
1534,,,moyſes iunger,moyſes der iunge,,,,,
1535,die dauor lebeten,die da vor lebten,die da vor lebten,di da vor lebeten,,,,,
1536,ſwie vil tugende ſie pflegeten,ſwie vil ſi tugende phlegten,ſwie ſi tugent phlegeten ,wi uil ſi tugende phlegeten,,,,,
1537,ir dulte doh nieman begat,ir tak doch nieman beget,ir tult doch nienen beget ,ir gedult doch nimant beget,,,,,
1538,div an ir iarzite geſtat,der an ir iarzeit geſtet,di an ir iarzit geſtet,di an ir iargezit geſtet,,,,,
1539,wand ſie den nie geſahen,wan ſi den nie geſahen,wan den ſi nie geſahen,wanne ſi den nie geſahen,,,,,
1540,des ſie zeherren iahen,des ſi ze herren iahen,dez ſi zeherren iahen,des ſi zuherren iahen,,,,,
1541,der ſit un#lde+r menniſk#aen+ gîe ,der ſeit vnd#aer+ vnſ gie,der ſit vnder vns gie,der ſint vnder vns gie,,,,,
1542,#avnd+ ſih crucigen lie,v#and+ ſich chrevzen lie,vnde ſich crucen lie,vnd ſich crucigen lie,,,,,
1543,durh liebe #lde+r chriſtenheit,,,,,,,,
1544,d#siv+ nu wît iſt v#and+ breit,,,,,,,,
1545,,,daz elliv heilicheit,daz alle heilikeit,,,,,
1546,,,wurde [...],wurde deſterbaz bereit,,,,,
1547,,,,vnd criſtenlicher ere,,,,,
1548,,,,wurde deſtermere,,,,,
1549,#iD+avid #avnd+ habraham,#rD+auid v#and+ abraham,,#iD+#ra+uid vnd abraham,,,,,
1550,daz waren furſten lo,die furſten lobeſam,,di waren furſten lobeſ#aam+,,,,,
1551,yſaac #avnd+ ioſue,yſaac v#and+ Ioſue,,yſaach vnd ioſue,,,,,
1552,vnd iacob inder alten ê,,,iacob #dv+in der alten e,,,,,
1553,ioh d#siv+ tohter yſachar,,,vnd di tochter yſachar,,,,,
1554,div unſer fr#sov+en gebar,,,di vnſer vrouwen gebar,,,,,
1555,#avnd+ ir vater ioachim,,,vnd ir uater ioachim,,,,,
1556,,die lebten ind#aer+ alten #^æ+,,,,,,,
1557,,ysachar v#and+ #rI+oachim,,,,,,,
1558,die heten allen ir ſin,die heten allen iren ſin,,di hatten alle irn ſin,,,,,
1559,an got ſtarche gewendet,an got vaſte gewendet,,an got gewendet,,,,,
1560,des enwrden ſie niht geſchendet,deſ wurden ſi nie geſchendet,,des enwurden ſi nicht geſchendet,,,,,
1561,ſie ſint inme himelriche,ſi ſint in himelreiche,,ſint in himelriche,,,,,
1562,#aden+ engeln geliche,den engeln geleiche,,den engelen gliche,,,,,
1563,vnd ſint da ſo gefriſtet,,,vnd da ſo ge#f13r/C2+vriſtet,,,,,
1564,daz in da nihtes gebriſtet,,,daz in nicht gebriſtet,,,,,
1565,wan des alterſeine,,,wanne des aleine,,,,,
1566,daz wir ſie uzſchei#lde+n,,,daz wir ſi uz ſcheiden,,,,,
1567,#du+an unſern hohziten,,,an vnſern hochgeziten,,,,,
1568,durh daz ſie muſen biten,,,dadurch daz ſi muzen b#sie+ten,,,,,
1569,der gotes ledigunge,,,der gotis ledigunge,,,,,
1570,#avnd+ an #lde+ſ libes wandelunge,,,,,,,,
1571,die helle muſen ſc#sov+eN,,,,,,,,
1572,,,,#ain+ deme abgrunde,,,,,
1573,#f23v+mit allem ir gezôwe,,,mit allem irm gezeume,,,,,
1574,nu rufet ſie #du+an alle,,,,,,,,
1575,uon herzen niht mit #lde+s mun#lde+s ſchalle,,,,,,,,
1576,,,,geru[...]et in di hohe,,,,,
1577,da ſie nu ſint gefuret,,,dar ſi nv ſint gefuret,,,,,
1578,uon dem tievil umberuret,,,von deme tuvele vngeruret,,,,,
